fpr,tpr
0.006627,0.118068
0.006627,0.118198
0.006627,0.118329
0.006627,0.118459
0.006627,0.118719
0.006627,0.118849
0.006627,0.118979
0.006627,0.11911
0.006627,0.11924
0.006627,0.11937
0.006627,0.11963
0.006627,0.11976
0.006627,0.119891
0.006627,0.120021
0.006627,0.120151
0.006627,0.120281
0.006627,0.120411
0.006627,0.120542
0.006627,0.120672
0.006627,0.120802
0.006627,0.120932
0.006627,0.121062
0.006627,0.121192
0.006627,0.121323
0.006627,0.121453
0.006627,0.121583
0.006627,0.121713
0.006627,0.121843
0.006627,0.121973
0.006627,0.122104
0.006627,0.122234
0.006627,0.122364
0.006627,0.122494
0.006627,0.122624
0.006627,0.122754
0.006627,0.122885
0.006627,0.123015
0.006627,0.123145
0.006627,0.123275
0.006627,0.123405
0.006627,0.123536
0.006627,0.123666
0.006627,0.123796
0.006627,0.123926
0.006627,0.124056
0.006627,0.124186
0.006627,0.124317
0.006627,0.124447
0.006627,0.124577
0.006627,0.124707
0.006627,0.124837
0.006627,0.124967
0.006627,0.125098
0.006627,0.125228
0.006627,0.125358
0.006627,0.125488
0.006627,0.125618
0.006627,0.125749
0.006627,0.125879
0.006627,0.126009
0.006627,0.126139
0.006627,0.126269
0.006627,0.126399
0.006627,0.12653
0.006627,0.12666
0.006627,0.12679
0.006627,0.12692
0.006627,0.12705
0.006627,0.12718
0.006627,0.127311
0.006627,0.127441
0.006627,0.127571
0.006627,0.127701
0.006627,0.127961
0.006627,0.128092
0.006627,0.128222
0.006627,0.128352
0.006627,0.128612
0.006627,0.128743
0.006627,0.128873
0.006627,0.129003
0.006627,0.129133
0.006627,0.129263
0.006627,0.129393
0.006627,0.129524
0.006627,0.129654
0.006627,0.129784
0.006627,0.129914
0.006627,0.130044
0.006627,0.130174
0.006627,0.130435
0.006627,0.130565
0.006627,0.130695
0.006627,0.130825
0.006627,0.130955
0.006627,0.131086
0.006627,0.131216
0.006627,0.131346
0.006627,0.131476
0.006627,0.131606
0.006627,0.131737
0.006627,0.131867
0.006627,0.131997
0.006627,0.132127
0.006627,0.132257
0.006627,0.132387
0.006627,0.132518
0.006627,0.132648
0.006627,0.132778
0.006627,0.132908
0.006627,0.133038
0.006627,0.133168
0.006627,0.133299
0.006627,0.133429
0.006627,0.133559
0.006627,0.133689
0.006627,0.133819
0.006627,0.133949
0.006627,0.13408
0.006627,0.13421
0.006627,0.13434
0.006627,0.13447
0.006627,0.1346
0.006627,0.134731
0.006627,0.134861
0.006627,0.134991
0.006627,0.135121
0.006627,0.135251
0.006627,0.135381
0.006627,0.135512
0.006627,0.135642
